title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr,director_tr,production_company_tr,English,title_length,rel_year,rel_month
Shakespeare in Love,Romance,False,25.0,289.317794,3.0,6.8,13.813154999999998,122.0,15,17,687.5454730000001,0.0,1791.667022,True,17,1998,December
The Prince of Egypt,Adventure,False,70.0,218.613188,2.0,6.9,11.898185,99.0,22,27,2453.678028,0.0,245.757863,True,16,1998,December
You've Got Mail,Comedy,False,65.0,250.82149500000003,1.0,6.3,10.237996,119.0,16,32,4040.110647,347.51808700000004,5286.259161,True,13,1998,December
The Faculty,Horror,False,15.0,40.283321,2.0,6.2,13.462253,104.0,33,64,356.287782,53.28298100000001,96.070226,True,10,1998,December
Patch Adams,Comedy,False,50.0,202.292902,4.0,7.0,12.52181,115.0,28,54,2831.163737,538.697356,13556.805484,True,10,1998,December
The Thin Red Line,Drama,False,52.0,98.126565,3.0,7.2,9.783966,170.0,27,20,365.49091,0.0,5.926128000000006,True,14,1998,December
Playing by Heart,Drama,False,20.0,3.970078,4.0,6.6,3.010088,121.0,25,20,3077.7600090000005,0.0,0.0,True,14,1998,December
The Cherry Orchard,Drama,False,5e-06,0.000135,,,0.00188,141.0,0,2,,0.0,,True,16,1999,January
Virus,Horror,False,75.0,14.01069,9.0,5.0,7.116536999999999,99.0,13,47,1563.973845,0.0,13759.098386,True,5,1999,January
The Boondock Saints,Action,True,6.0,0.030471,3.0,7.2,12.457908,108.0,15,16,846.263254,0.0,0.0,True,17,1999,January
Cookie's Fortune,Comedy,False,10.0,10.920544,4.0,6.2,3.380684,118.0,19,13,1658.3764119999998,121.55773299999998,2.318671,True,15,1999,January
Ringu 2,Horror,True,6.0,18.686644,,5.4,5.277814,92.0,16,5,8.690429000000002,8.690429000000002,,False,6,1999,January
She's All That,Comedy,False,10.0,103.166989,3.0,5.7,7.0649820000000005,95.0,23,8,68.79018500000001,0.0,2080.984816,True,12,1999,January
Jawbreaker,Comedy,False,3.0,3.07682,3.0,5.9,7.434797,87.0,14,22,78.15187699999998,0.0,4323.116445,True,10,1999,January
Payback,Drama,False,90.0,161.62612099999996,2.0,6.7,9.112008,100.0,14,75,2743.365846,0.0,15959.460388,True,7,1999,February
Simply Irresistible,Comedy,False,6.0,4.398989,3.0,5.5,6.053045,95.0,15,19,125.61660500000002,0.0,0.0,True,18,1999,February
My Favorite Martian,Comedy,False,65.0,36.850101,1.0,5.1,12.65102,94.0,8,6,878.425643,11.359129000000005,4986.261314,True,17,1999,February
Blast from the Past,Comedy,False,35.0,40.26302,3.0,6.3,8.355977000000001,112.0,14,20,393.971341,262.598896,3318.958771,True,16,1999,February
Office Space,Comedy,False,10.0,12.827813,2.0,7.4,12.329066,89.0,31,16,104.30079,0.0,11674.76691,True,11,1999,February
Message in a Bottle,Romance,False,80.0,118.880016,3.0,5.9,5.101392,131.0,19,11,3591.2968750000005,67.63489,0.0,True,16,1999,February
200 Cigarettes,Comedy,False,6.0,6.85245,1.0,6.1,3.227046,101.0,11,3,814.92475,0.0,16121.086509,True,13,1999,February
8MM,Thriller,True,40.0,96.618699,3.0,6.1,7.473717999999999,123.0,16,77,1402.062327,1039.066781,3743.912414,True,3,1999,February
Analyze This,Comedy,True,80.0,176.885658,4.0,6.4,7.634017,103.0,21,13,1762.651433,184.46139,50.89215999999999,True,11,1999,March
Cruel Intentions,Drama,True,10.5,75.902208,3.0,6.6,8.181065,97.0,20,10,288.07297300000005,0.0,3062.47861,True,15,1999,March
The Rage: Carrie 2,Horror,True,21.0,17.762705,2.0,5.1,4.766591,104.0,42,40,88.455454,0.0,5333.923812,True,15,1999,March
The Deep End of the Ocean,Drama,False,38.0,28.1211,2.0,6.0,5.7846800000000025,106.0,15,6,1909.421741,11.129057000000005,3840.531113,True,20,1999,March
Baby Geniuses,Science Fiction,False,12.0,36.450736,3.0,3.3,7.707344,97.0,6,3,2218.978593,215.320555,4326.193265,True,12,1999,March
The Corruptor,Action,False,25.0,15.1562,2.0,6.1,9.208831,110.0,12,7,127.181138,42.917796,3359.2217910000004,True,12,1999,March
Forces of Nature,Romance,False,75.0,93.88818,2.0,5.1,7.906035,105.0,40,27,2273.429074,0.0,464.371051,True,14,1999,March
The King and I,Animation,False,25.0,12.0,5.0,5.0,1.466461,87.0,9,13,112.761561,9.771658000000002,0.0,True,11,1999,March
The Last Breath,Crime,False,3.8,0.559298,1.0,4.0,0.0727039999999999,,8,5,0.0,0.0,12.781682,False,13,1999,March
Tea with Mussolini,Comedy,False,12.0,21.001563,4.0,5.8,3.094893,117.0,16,9,382.328296,92.104343,0.0,True,16,1999,March
The Mod Squad,Action,False,50.0,13.26005,1.0,4.1,3.826503,92.0,8,5,232.956751,0.0,1464.404,True,11,1999,March
10 Things I Hate About You,Comedy,False,16.0,53.478166,3.0,7.3,12.069966,97.0,44,37,50.853769,0.0,0.0,True,21,1999,March
The Matrix,Action,True,63.0,463.517383,4.0,7.9,33.366332,136.0,36,71,865.4905200000001,7.01131700000002,70.92988600000001,True,9,1999,March
Beowulf,Action,False,20.0,1.531251,1.0,4.4,7.745765,95.0,9,11,233.440623,52.626429,0.0,True,7,1999,April
The Out-of-Towners,Comedy,False,75.0,29.0,2.0,5.1,9.019881,90.0,11,5,1027.2940440000002,45.61041,16127.938959,True,17,1999,April
Go,Crime,False,6.5,28.451622,1.0,7.0,8.344282000000002,98.0,17,8,92.186091,4.505921999999998,3138.380818,True,2,1999,April
Never Been Kissed,Romance,False,25.0,84.56523,4.0,5.8,7.257678999999999,107.0,23,9,1406.198926,79.08251499999999,104.05269300000002,True,15,1999,April
eXistenZ,Action,False,15.0,2.856712,8.0,6.7,11.446138,97.0,17,57,385.777615,107.280393,0.0,True,8,1999,April
An Ideal Husband,Drama,False,14.0,18.535191,2.0,6.3,3.873796,97.0,6,3,111.47938,0.0,2184.151805,True,14,1999,April
The Mummy,Adventure,True,80.0,415.885488,2.0,6.6,23.984065,124.0,26,19,230.403395,11.203026000000024,13773.109076,True,8,1999,April
The Thirteenth Floor,Thriller,False,16.0,18.564088,2.0,6.8,9.356587,100.0,31,22,29.802719,0.0,3166.83244,True,18,1999,April
Life,Comedy,False,80.0,73.345029,2.0,6.4,7.579444,108.0,16,10,2621.188413,11.439193000000005,1418.371905,True,4,1999,April
All About My Mother,Comedy,False,8.272296,67.87229599999999,2.0,7.4,10.000915,101.0,27,32,2.336755000000011,11.131597999999997,139.373134,False,16,1999,April
The Virgin Suicides,Drama,False,6.0,10.409377,1.0,7.1,10.505387,97.0,20,19,1300.720833,0.0,469.527018,True,17,1999,April
Lost & Found,Comedy,False,1e-06,0.0001,2.0,4.9,1.3370959999999998,95.0,6,4,361.318591,20.060051,0.0,True,10,1999,April
